id_demanda,Z,t_min
562176,2760,1.3916666666666666
554139,2819,2.6933333333333334
655322,2851,2.9633333333333334
567294,2779,2.4233333333333333
570379,2813,3.953333333333333
655345,2859,4.89
561744,2869,4.881666666666666
537478,3202,15.229999999999999
553386,2810,3.6416666666666666
561681,2839,2.828333333333333
618063,3155,15.685
558933,2762,1.68
129801,3007,29.038333333333334
652490,2957,15.754999999999999
623338,3080,17.638333333333332
132436,3135,12.221666666666666
510963,3071,30.976666666666667
529365,2440,15.973333333333333
129076,3053,15.285
552117,2769,2.5283333333333333
566052,2926,6.121666666666667
226025,3938,53.901666666666664
242757,3591,50.05
228618,3635,53.22166666666667
235692,3384,66.75666666666667
250171,3685,78.84166666666667
529707,3483,57.29
119895,3307,86.105
223859,3305,66.77333333333334
662356,3593,72.655
561487,3441,45.105000000000004
221644,3512,91.385
245429,3517,69.185
232543,2866,83.45666666666666
685944,3956,54.67666666666666
210670,3280,78.34333333333333
656037,3943,56.3
538058,3232,61.14666666666667
243765,4052,50.79833333333333
113039,3273,79.84166666666667
213933,4089,62.30333333333333
228323,3275,82.00833333333334
115327,3338,77.09833333333333
211246,3538,82.65
310289,3504,46.605000000000004
621742,3526,68.93666666666667
239878,3920,73.96833333333333
527905,3848,56.175
661862,2854,39.98166666666667
237757,3051,43.255
222251,3290,73.38166666666666
111683,3292,65.825
610485,2958,40.19166666666667
610559,2906,80.63666666666667
225175,2834,39.623333333333335
539399,3552,74.30166666666668
128221,3123,65.32166666666667
130599,2760,74.74333333333334
656038,3313,52.82833333333333
533714,3267,76.54166666666667
125672,2859,39.995
662613,2870,37.38333333333333
133302,3352,11.215
131550,3552,20.16
569685,2838,4.065
685947,3571,14.666666666666666
538927,3170,12.663333333333332
241906,3478,43.41166666666666
527928,3297,37.776666666666664
529727,4166,35.09
230426,3458,17.509999999999998
112795,3611,56.52166666666667
125306,3383,40.70166666666667
131014,3523,48.655
539403,3326,31.055
653610,3455,18.115000000000002
128809,3813,47.72666666666667
521163,3361,42.35333333333333
115582,3514,45.736666666666665
692160,3763,45.38333333333333
531501,3906,28.528333333333332
236956,3364,20.725
656093,3521,27.584999999999997
221650,3574,51.57333333333334
211396,3396,41.63333333333333
124258,3878,43.044999999999995
126286,3511,25.451666666666664
120915,3409,37.50666666666667
130305,3464,21.685
214773,3380,31.825
226242,3407,38.335
513176,3365,105.43666666666667
677359,3444,137.91833333333335
625746,3270,128.57666666666668
112436,2819,120.66666666666667
123829,1884,145.37333333333333
238678,3557,110.03
236000,3252,119.42166666666667
685954,2770,123.26666666666667
551443,2134,96.75
125722,2890,134.405
657331,1947,129.30666666666667
516011,3152,112.18666666666667
678565,3385,148.80166666666668
241348,2786,126.68
119598,3509,97.35833333333333
536559,2831,121.25666666666666
115804,3168,110.3
610005,2937,117.99833333333332
117241,3095,139.78166666666667
227028,3235,128.15666666666667
542794,3111,145.1616666666667
122318,2072,138.675
657136,3056,125.69166666666666
657330,2925,121.26833333333335
661879,2364,102.57166666666667
215407,2022,139.79500000000002
518864,2843,126.17666666666668
657135,2964,121.96000000000001
678566,2413,148.96
214925,1787,137.21
520322,3162,115.92333333333333
245020,1974,141.69833333333332
510518,2486,19.11
533445,2640,24.933333333333334
250531,2617,23.775
310179,2473,18.67
657140,3097,37.57166666666667
114808,3135,32.913333333333334
610225,2886,23.586666666666666
118156,3153,35.98833333333334
520500,2610,19.541666666666668
113446,3322,38.236666666666665
527985,3266,34.64
242173,3030,28.435
218065,2978,27.636666666666667
121967,3285,34.00833333333333
110587,2573,26.06
548117,3396,41.84
685958,2928,28.378333333333334
217204,2887,32.885
513699,3174,35.48166666666667
118160,2844,24.045
526236,3756,38.71666666666667
110827,2543,21.773333333333333
517644,2870,44.82833333333333
120973,2976,30.421666666666667
234595,3440,50.73166666666667
528791,3064,58.865
131537,3451,73.655
685961,2633,25.466666666666665
132742,2693,23.298333333333336
685960,2472,23.483333333333334
250601,2968,36.980000000000004
625104,2846,35.19166666666667
610569,2900,49.041666666666664
210300,3072,11.65
516799,2746,1.3099999999999998
677365,2928,3.7800000000000002
677362,2921,3.3216666666666668
571518,2743,2.2800000000000002
128380,2800,1.995
237814,2816,3.4483333333333333
127412,2763,1.2666666666666666
655749,2887,2.8316666666666666
662397,3382,71.26333333333334
685965,3481,69.105
685967,3648,70.35
685964,3214,53.67166666666667
680249,3256,56.585
129374,3228,61.958333333333336
120633,2737,83.81666666666666
243955,2945,78.125
546769,3469,70.21000000000001
680251,3414,69.105
661860,2644,46.138333333333335
556593,2567,34.95333333333333
119096,3186,70.23
657233,3580,56.855000000000004
122626,3348,63.85
612959,3523,33.443333333333335
234246,3257,36.40833333333333
223824,3808,22.348333333333336
118361,3220,47.559999999999995
610610,3547,21.428333333333335
574139,3283,43.485
547464,3762,22.446666666666665
217906,3476,49.495
124686,3440,40.14333333333333
544560,3251,24.296666666666667
121644,3583,28.813333333333333
112406,3753,44.37833333333333
521918,3220,41.873333333333335
657228,3534,23.341666666666665
219152,3317,20.65666666666667
114963,2692,9.03
657227,2685,9.596666666666666
552663,2889,9.361666666666668
227837,2602,6.97
232576,2611,9.725
548476,3130,21.05666666666667
114868,2483,11.586666666666668
657226,2504,15.638333333333332
540199,2737,11.833333333333334
653313,3614,33.13166666666667
115275,2693,10.18
615121,3042,20.413333333333334
511309,3217,23.84333333333333
114068,4382,116.48166666666665
118857,3330,64.48666666666666
111192,3542,85.67833333333333
123792,3150,55.67833333333333
243501,3520,59.08166666666667
662623,4417,96.99333333333334
223789,3746,74.32333333333332
547632,3779,96.59833333333333
231244,3507,58.62
120264,3464,71.05666666666666
245199,3573,85.11999999999999
677089,3191,61.805
685979,3616,72.065
118592,3681,73.94
116244,4438,111.03666666666666
524042,3686,47.91833333333333
657234,3358,73.13166666666666
677087,3377,68.50500000000001
