DEP,dist_recta_km,distancia_km,duracion_min,factor_desvio,velocidad_kmh
PIURA,173.3964,261.9399,258.585,1.5106,60.7784
AYACUCHO,109.2753,264.0651,189.0217,2.4165,83.8206
AYACUCHO,1286.5965,1763.1502,1603.41,1.3704,65.9775
LORETO,835.7251,1589.585,8733.56,1.902,10.9205
LORETO,40.4855,140.1138,139.7983,3.4608,60.1354
LORETO,875.5976,1412.9905,2248.0983,1.6137,37.7116
AYACUCHO,311.2286,672.978,678.9883,2.1623,59.4689
PIURA,113.8436,188.1999,164.4233,1.6531,68.6763
AYACUCHO,899.3032,1467.5638,1560.3917,1.6319,56.4306
PIURA,140.0732,315.2172,263.73,2.2504,71.7136
LORETO,1036.6379,1580.0075,3227.6867,1.5242,29.371
AYACUCHO,1255.6477,1568.1668,1483.1667,1.2489,63.4386
AYACUCHO,1245.1893,2508.7708,9757.1283,2.0148,15.4273
PIURA,52.7292,60.1086,47.9683,1.14,75.1854
AYACUCHO,1167.678,1531.705,1388.945,1.3118,66.167
LORETO,791.7848,1548.7991,8702.725,1.9561,10.678
AYACUCHO,112.2222,235.0372,249.54,2.0944,56.5129
AYACUCHO,1207.8919,2183.453,9487.8733,1.8077,13.8079
AYACUCHO,1148.7508,1529.3198,1476.215,1.3313,62.1584
AYACUCHO,1190.6325,2250.8076,9571.155,1.8904,14.1099
AYACUCHO,1127.5997,1451.8029,1329.1383,1.2875,65.5373
AYACUCHO,58.5964,147.0209,195.2733,2.509,45.1739
LORETO,643.6781,917.4147,769.8483,1.4253,71.5009
AYACUCHO,139.0923,280.1651,321.925,2.0142,52.2168
LORETO,160.5144,14.8555,22.875,0.0925,38.9652
PIURA,35.4801,73.6551,69.8217,2.076,63.2942
AYACUCHO,52.7519,99.6851,121.0217,1.8897,49.4218
AYACUCHO,185.0954,330.9916,326.1,1.7882,60.9
LORETO,441.2491,1508.4718,8829.935,3.4186,10.2502
PIURA,185.3094,294.6897,237.1283,1.5903,74.5646
PIURA,1120.9678,1603.2,1501.9267,1.4302,64.0457
AYACUCHO,1118.8096,2136.8732,9569.4433,1.91,13.3981
PIURA,668.4283,1496.4205,1422.0517,2.2387,63.1378
PIURA,172.9873,260.0647,258.1833,1.5034,60.4372
AYACUCHO,1305.8882,1675.5222,1550.71,1.2831,64.8292
PIURA,67.658,74.2244,79.5683,1.0971,55.9703
PIURA,1223.1083,1663.532,1522.2683,1.3601,65.5679
AYACUCHO,1219.1811,2349.842,9628.9283,1.9274,14.6424
AYACUCHO,1254.1815,1531.2541,1434.975,1.2209,64.0257
AYACUCHO,1236.8964,2533.595,9804.6783,2.0483,15.5044
PIURA,32.6757,45.7524,44.2967,1.4002,61.9718
AYACUCHO,169.2719,305.5165,285.845,1.8049,64.1291
AYACUCHO,236.5463,522.5978,550.7017,2.2093,56.938
AYACUCHO,1178.5663,1675.7052,1559.255,1.4218,64.481
PIURA,54.7362,84.4533,73.32,1.5429,69.1107
AYACUCHO,1246.1159,1713.5102,1563.5417,1.3751,65.755
LORETO,1023.2197,1767.1028,10929.6633,1.727,9.7008
LORETO,22.5733,26.1738,36.0117,1.1595,43.6089
LORETO,419.3487,706.5083,588.08,1.6848,72.0829
AYACUCHO,234.7918,522.6743,630.4033,2.2261,49.7467
AYACUCHO,1245.7775,2442.1416,9750.5217,1.9603,15.0278
AYACUCHO,1191.3087,1574.0701,1423.4333,1.3213,66.3496
AYACUCHO,1278.3602,1608.0255,1487.6533,1.2579,64.8548
LORETO,679.1093,1071.4282,2492.8683,1.5777,25.7878
AYACUCHO,65.2224,163.9971,147.635,2.5144,66.6497
AYACUCHO,243.8852,546.9204,505.0617,2.2425,64.9727
PIURA,109.7259,129.9033,120.4783,1.1839,64.6938
PIURA,90.7558,127.2965,160.4633,1.4026,47.5984
PIURA,119.8874,202.6696,203.3317,1.6905,59.8046
AYACUCHO,1236.1524,1481.8528,1393.7117,1.1988,63.7945
PIURA,111.5815,133.3725,120.3383,1.1953,66.4988
AYACUCHO,1224.3789,1444.8844,1353.9683,1.1801,64.0289
AYACUCHO,814.7569,1241.5308,1398.5067,1.5238,53.2653
PIURA,1163.4477,1565.8951,1478.4067,1.3459,63.5507
AYACUCHO,734.0742,1174.1945,1359.7483,1.5996,51.8123
AYACUCHO,1212.2924,2298.9164,9657.7517,1.8963,14.2823
LORETO,845.2987,1593.2994,8738.2933,1.8849,10.9401
