ranking,nivel_id,nivel_nombre,t_min_medio_ponderado,poblacion_con_acceso,poblacion_sin_acceso_enrutable,pct_poblacion_con_acceso,n_puntos,poblacion_minima_aplicada
1,160401,RAMON CASTILLA,4909.0656735192415,40216.448275862065,0.0,100.0,29,0
2,160403,YAVARI,4827.886919981061,5450.322580645161,0.0,100.0,31,0
3,160404,SAN PABLO,3861.929136835856,21617.750000000004,0.0,100.0,20,0
4,160804,YAGUAS,2785.069857142857,1305.0000000000002,0.0,100.0,7,0
5,160402,PEBAS,2206.4397842601034,12693.857142857143,0.0,100.0,35,0
6,160206,LAGUNAS,1746.205269943594,4898.684210526315,1125.0,81.32,19,0
7,160305,URARINAS,1741.7793744333637,12868.333333333334,727.2222222222223,94.65,36,0
8,160504,EMILIO SAN MARTIN,1524.6543553084464,4931.083333333332,0.0,100.0,12,0
9,160505,MAQUIA,1340.9694106569182,12036.0,0.0,100.0,17,0
10,160105,LAS AMAZONAS,1172.4604994850667,3803.083333333333,0.0,100.0,24,0
11,160705,PASTAZA,983.6564775413711,555.1875,1874.25,22.85,32,0
12,160304,TROMPETEROS,891.0434380692169,2781.6,4453.599999999999,38.45,15,0
13,160210,SANTA CRUZ,867.0311463963965,2829.4117647058824,0.0,100.0,17,0
14,160801,PUTUMAYO,707.8753558718862,1100.5833333333333,0.0,100.0,12,0
15,160701,BARRANCA,596.9580549530008,1807.12,36075.76000000001,4.77,25,0
